bigMD2.5Om27                                 
 A    = 0.59830
 I    =    0 Nrow =    0 Ngrid=    0
 Omega_0=  0.30711 Omega_L=  0.69288 hubble =  0.67770 buffer width (Mpch) =  5.00000
 Force softening (kpch)               =  10.000
 Minimum distance between halos (kpch)=  50.000
 Number of neighbours for  particles  = 20
 Number of buffered particles         =  20000
 Split factor for adaptive mesh       =  8
 Number of radial bins                =   30
 Step in radius dlog10                = 0.05000
 Mass of smallest particle (Msunh)    =  1.5054E+09
 Subhalos rejection: virial ratio     =   1.200
 offset parameter limit               =   0.200
 radius overshoot factor              =   1.100
 Overdensity limit                    =  296.64
     XYZ(Mpch)                          Vxyz(km/s)                  Mbound     Mtot/Msunh    Rvir(kpch) Vrms(km/s) Vcirc(km/s)       Nhalo  Cvir    Nparticles  Distinct/Sub   Xoff  2K/Ep-1   Lambda   RadRMS/kpch   b/a  c/a MajorAxis:  x      y      z  
     5.6953     1.4705     7.6298      -100.84    356.12    324.24  3.1614E+10  3.3119E+10  68.145       51.75       58.84              20   3.376       21.00               0  0.1469     -1.2501E-02  0.1043       42.73      0.1500      4.5025E-02  0.7961      0.2388      0.5560    
     5.7100     3.8790     6.9644        38.77    466.26    373.04  3.6130E+10  4.3657E+10  74.476       64.96       64.26              21   5.847       24.00               0  0.2773      0.3679      5.3141E-02   42.29      0.5538      0.3128      0.9451     -0.1556     -0.2874    
     4.1641     3.5202     5.3686        -0.89    386.83    332.77  3.3119E+10  3.3119E+10  68.145       49.94       58.55              22   2.304       22.00               0  0.1661     -3.6971E-02  2.4568E-02   41.16      0.5733      0.1406      0.2977      0.8860      0.3555    
     6.4651     2.7211     4.9816      -102.58    445.12    321.94  3.4624E+10  3.4624E+10  68.916       64.58       64.44              23   5.310       23.00               0  0.1748      0.4059      7.8328E-02   38.65      0.8246      0.6854      0.7090     -0.6376      0.3014    
     5.9912     3.2589     7.4911      -101.68    479.62    313.63  8.5808E+10  9.3335E+10  96.238       95.33       87.92              24   6.185       57.00               0  0.1187      0.5237      4.8325E-02   51.94      0.6352      0.4653      0.3320     -0.7985      0.5022    
     6.3197     3.5073     7.4993       -69.37    454.86    345.61  6.3227E+10  6.4733E+10  85.193       78.27       79.29              25   5.757       42.00               0  0.1211      0.2735      0.1866       46.03      0.5282      0.3036      0.7371      0.6738     -5.2120E-02
     4.2108     0.8753     1.2595      -122.10    276.05    246.82  3.7184E+11  3.8990E+11  154.91       141.3       135.7              26   3.946       247.0               0  0.1445      0.2659      4.2245E-02   89.69      0.6440      0.5029      7.1914E-02 -0.3444      0.9361    
     4.4239     3.3833     0.8604       -48.37    338.42    207.75  4.9679E+10  4.9679E+10  77.459       73.36       75.99              27   6.896       33.00               0  9.5671E-02  0.2863      1.7166E-02   40.49      0.8988      0.7133      0.1851      0.2174      0.9584    
     7.5157     3.8700     0.1606      -147.83    465.09    259.43  4.5162E+10  4.6668E+10  76.388       61.03       65.43              28   2.565       30.00               0  0.2354      0.1946      1.7184E-02   48.82      0.3496      0.2406      0.5695      0.2078      0.7953    
     7.1453     4.6616     3.0420       -61.49    540.39    292.41  6.3227E+10  6.3227E+10  84.945       74.28       87.54              29   9.644       42.00               0  0.1484      9.5593E-02  6.7660E-02   46.32      0.7415      0.4358      0.9140     -0.3516      0.2026    
