# ix,iy,iz, density
   0    0    0  -0.319378
   1    0    0  -0.193465
   2    0    0 0.00529166
   3    0    0   0.211183
   4    0    0   0.269239
   5    0    0   0.289974
   6    0    0    0.33383
   7    0    0   0.427421
   8    0    0    0.55325
   9    0    0   0.383765
  10    0    0 -0.0558857
  11    0    0  -0.385873
  12    0    0  -0.398426
  13    0    0  -0.121463
  14    0    0  0.0973737
  15    0    0 -0.0449665
  16    0    0  -0.278963
  17    0    0  -0.340442
  18    0    0  -0.310784
  19    0    0  -0.270139
  20    0    0  -0.232014
  21    0    0  -0.231697
  22    0    0  -0.237993
  23    0    0  -0.270199
  24    0    0  -0.345266
  25    0    0  -0.427442
  26    0    0  -0.508514
  27    0    0  -0.599409
  28    0    0  -0.681402
  29    0    0  -0.668666
  30    0    0  -0.416195
  31    0    0  0.0621758
  32    0    0   0.306703
  33    0    0  0.0793933
  34    0    0  -0.203228
  35    0    0  -0.273609
  36    0    0  -0.177737
  37    0    0  -0.142102
  38    0    0  -0.218231
  39    0    0  -0.339974
  40    0    0  -0.547064
  41    0    0  -0.727329
  42    0    0  -0.797865
  43    0    0  -0.806211
  44    0    0  -0.776283
  45    0    0  -0.705935
  46    0    0  -0.654294
  47    0    0  -0.671805
  48    0    0  -0.684529
  49    0    0  -0.659466
  50    0    0  -0.642772
  51    0    0  -0.651992
  52    0    0  -0.673022
  53    0    0  -0.684115
  54    0    0   -0.68811
  55    0    0  -0.710902
  56    0    0  -0.739151
  57    0    0  -0.720556
  58    0    0  -0.642944
  59    0    0  -0.506223
  60    0    0  -0.161708
  61    0    0   0.587242
  62    0    0    1.11737
  63    0    0   0.633937
  64    0    0  -0.105024
  65    0    0  -0.368692
  66    0    0  -0.473784
  67    0    0  -0.647744
  68    0    0  -0.766534
  69    0    0  -0.789743
  70    0    0   -0.78161
  71    0    0  -0.759757
  72    0    0  -0.681988
  73    0    0  -0.376149
  74    0    0   0.327781
  75    0    0    1.09121
  76    0    0    1.04504
  77    0    0   0.176821
  78    0    0  -0.476237
  79    0    0  -0.665317
  80    0    0  -0.713229
  81    0    0  -0.719516
  82    0    0  -0.675464
  83    0    0   -0.43714
  84    0    0   0.362884
  85    0    0    1.09746
  86    0    0   0.632174
  87    0    0  -0.188241
  88    0    0  -0.482087
  89    0    0  -0.509869
  90    0    0  -0.574143
  91    0    0  -0.694185
  92    0    0   -0.78105
  93    0    0  -0.820818
  94    0    0  -0.825381
  95    0    0  -0.771172
  96    0    0  -0.572337
  97    0    0  -0.161025
  98    0    0   0.353926
